"id","name","hr_kategori_ter_id/id"
"__export__.hr_kategori_pph_1_c87d6178","TK/0","__export__.hr_kategori_ter_1_efec1f0f"
"__export__.hr_kategori_pph_2_5dec67e8","TK/1","__export__.hr_kategori_ter_1_efec1f0f"
"__export__.hr_kategori_pph_3_5657bd5e","K/0","__export__.hr_kategori_ter_1_efec1f0f"
"__export__.hr_kategori_pph_4_6515b19f","TK/2","__export__.hr_kategori_ter_2_828974e2"
"__export__.hr_kategori_pph_5_a5d4fcbc","TK/3","__export__.hr_kategori_ter_2_828974e2"
"__export__.hr_kategori_pph_6_8be20c8b","K/1","__export__.hr_kategori_ter_2_828974e2"
"__export__.hr_kategori_pph_7_176ee8f5","K/2","__export__.hr_kategori_ter_2_828974e2"
"__export__.hr_kategori_pph_8_9a9f4077","K/3","__export__.hr_kategori_ter_3_2a13ff09"
